last_name, first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
Abreu, Jose,547989,White Sox,2018,1B,0,-1,-2,1,0,0,-3,3,88%,89%,-1%
Acuna Jr., Ronald,660670,Braves,2018,LF,3,4,1,1,2,-1,1,2,88%,86%,2%
Adames, Willy,642715,Rays,2018,SS,-5,-7,2,-6,-4,0,-5,-2,81%,84%,-3%
Adams, Matt,571431,---,2018,1B,-2,-2,1,-2,-1,0,0,-2,90%,92%,-2%
Adduci, Jim,451192,Tigers,2018,1B,-1,-2,0,-2,-1,1,0,-2,89%,93%,-4%
Adrianza, Ehire,501303,Twins,2018,SS,4,5,1,1,2,1,-1,6,87%,85%,2%
Aguilar, Jesus,542583,Brewers,2018,1B,1,1,4,2,-3,-1,1,0,93%,92%,1%
Ahmed, Nick,605113,Diamondbacks,2018,SS,22,29,8,6,14,1,25,4,91%,84%,7%
Alberto, Hanser,593643,Rangers,2018,SS,1,1,1,0,0,0,1,0,95%,89%,6%
Albies, Ozzie,645277,Braves,2018,2B,12,16,0,4,11,1,4,12,91%,87%,4%
Alford, Anthony,546990,Blue Jays,2018,LF,0,0,-1,0,1,0,1,-1,87%,83%,4%
Allen, Greg,656185,Indians,2018,CF,1,1,1,-1,1,0,2,-1,89%,88%,1%
Almonte, Abraham,501659,Royals,2018,CF,-2,-3,-1,-1,0,-1,-1,-1,86%,88%,-2%
Almora Jr., Albert,546991,Cubs,2018,CF,10,11,3,2,5,0,6,5,93%,89%,4%
Alonso, Yonder,475174,Indians,2018,1B,-3,-4,0,-3,-1,1,2,-5,90%,92%,-2%
Altherr, Aaron,571437,Phillies,2018,RF,3,3,1,0,1,1,3,0,88%,85%,3%
Altuve, Jose,514888,Astros,2018,2B,4,5,0,1,2,2,1,3,88%,87%,1%
Alvarez, Pedro,476883,Orioles,2018,3B,1,1,0,0,1,0,1,0,79%,71%,8%
Anderson, Brian,605119,Marlins,2018,RF,-4,-5,0,-2,0,-2,-2,-3,84%,86%,-2%
Anderson, Tim,641313,White Sox,2018,SS,4,5,-1,1,4,2,1,4,86%,85%,1%
Andreoli, John,607430,---,2018,LF,3,3,1,2,-1,1,2,1,90%,83%,7%
Andrus, Elvis,462101,Rangers,2018,SS,1,1,0,0,1,0,2,0,87%,86%,1%
Andujar, Miguel,609280,Yankees,2018,3B,-8,-11,-3,-8,0,0,-12,1,82%,86%,-4%
Arcia, Orlando,606115,Brewers,2018,SS,9,12,3,1,6,2,8,3,89%,86%,3%
Arenado, Nolan,571448,Rockies,2018,3B,6,8,3,0,4,1,9,-1,87%,85%,2%
Arroyo, Christian,624414,Rays,2018,2B,1,2,1,0,1,0,1,1,100%,93%,7%
Astudillo, Willians,553902,Twins,2018,3B,-1,-2,-1,0,0,-1,-2,0,77%,86%,-9%
Asuaje, Carlos,641319,Padres,2018,2B,-3,-4,-1,-2,0,-1,-3,-1,84%,87%,-3%
Austin, Tyler,592122,---,2018,1B,3,4,1,1,0,1,2,2,97%,87%,10%
Bader, Harrison,664056,Cardinals,2018,CF,18,19,6,10,2,2,8,11,92%,85%,7%
Baez, Javier,595879,Cubs,2018,2B,1,1,5,-7,0,3,4,-3,86%,85%,1%
Barnes, Austin,605131,Dodgers,2018,2B,0,1,0,0,0,0,1,0,94%,90%,4%
Barnes, Brandon,488681,Indians,2018,RF,1,1,0,0,0,0,1,0,100%,94%,6%
Barreto, Franklin,620439,Athletics,2018,2B,0,0,0,0,0,1,-1,2,89%,88%,1%
Bauers, Jake,641343,Rays,2018,1B,-2,-2,-3,-2,2,0,0,-3,85%,87%,-2%
Bautista, Jose,430832,---,2018,RF,-6,-7,-3,1,-1,-4,-4,-3,83%,86%,-3%
Beckham, Gordon,493596,Mariners,2018,2B,2,2,1,0,0,0,1,1,92%,87%,5%
Beckham, Tim,542921,Orioles,2018,SS,-8,-11,-3,-1,-6,-1,-6,-4,80%,85%,-5%
Bell, Josh,605137,Pirates,2018,1B,1,1,-1,4,-1,0,2,-1,88%,88%,0%
Bellinger, Cody,641355,Dodgers,2018,CF,6,7,0,4,1,1,4,3,93%,91%,2%
Belt, Brandon,474832,Giants,2018,1B,-1,-1,-1,-2,2,-1,0,-2,89%,89%,0%
Beltre, Adrian,134181,Rangers,2018,3B,4,5,4,0,1,0,4,1,93%,89%,4%
Benintendi, Andrew,643217,Red Sox,2018,LF,-1,-1,2,-1,-2,0,-3,2,87%,87%,0%
Betts, Mookie,605141,Red Sox,2018,RF,10,12,1,5,3,2,12,0,91%,88%,3%
Bird, Greg,595885,Yankees,2018,1B,0,1,1,0,-1,0,-2,2,94%,94%,0%
Blackmon, Charlie,453568,Rockies,2018,CF,-8,-8,-2,0,-5,-1,-6,-2,84%,86%,-2%
