last_name, first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
Blanco, Gregor,453923,Giants,2018,LF,-2,-2,1,-1,-2,1,-1,-1,85%,87%,-2%
Blandino, Alex,607468,Reds,2018,2B,1,2,2,0,0,0,2,0,91%,88%,3%
Blash, Jabari,518466,Angels,2018,RF,-1,-1,0,0,-1,0,-1,0,87%,90%,-3%
Bogaerts, Xander,593428,Red Sox,2018,SS,2,2,7,-5,1,-1,-2,5,88%,87%,1%
Bonifacio, Jorge,593528,Royals,2018,RF,-1,-1,0,-2,0,1,1,-1,83%,83%,0%
Bote, David,623520,Cubs,2018,3B,4,5,1,2,2,0,6,-1,89%,84%,5%
Bour, Justin,571506,---,2018,1B,-2,-3,-2,-2,1,0,1,-4,90%,93%,-3%
Bourjos, Peter,488721,Braves,2018,LF,0,0,1,0,0,0,-1,1,84%,84%,0%
Bradley Jr., Jackie,598265,Red Sox,2018,CF,10,12,1,5,4,1,6,6,91%,88%,3%
Brantley, Michael,488726,Indians,2018,LF,-5,-5,2,-2,-3,-2,-6,1,85%,87%,-2%
Braun, Ryan,460075,Brewers,2018,LF,-2,-3,2,-2,-2,-1,-3,0,85%,87%,-2%
Bregman, Alex,608324,Astros,2018,3B,1,2,-4,4,0,2,-1,3,83%,83%,0%
Brinson, Lewis,621446,Marlins,2018,CF,2,2,0,3,-2,1,-1,4,89%,88%,1%
Brito, Socrates,593647,Diamondbacks,2018,RF,1,1,0,-1,1,1,0,1,83%,79%,4%
Broxton, Keon,542979,Brewers,2018,CF,6,6,0,3,3,1,4,2,95%,85%,10%
Bruce, Jay,457803,Mets,2018,RF,-4,-5,0,-1,-2,-3,-3,-2,85%,88%,-3%
Bryant, Kris,592178,Cubs,2018,3B,-3,-5,-1,-4,0,0,-3,-1,87%,88%,-1%
Buxton, Byron,621439,Twins,2018,CF,2,2,1,0,0,1,1,1,92%,90%,2%
Cabrera, Asdrubal,452678,---,2018,2B,4,6,3,-2,4,1,0,6,88%,86%,2%
Cabrera, Melky,466320,Indians,2018,RF,-6,-6,0,-2,-2,-3,-3,-3,83%,88%,-5%
Cabrera, Miguel,408234,Tigers,2018,1B,-1,-1,0,0,0,-1,-1,-1,90%,93%,-3%
Cain, Lorenzo,456715,Brewers,2018,CF,20,22,3,6,10,2,15,7,94%,87%,7%
Calhoun, Kole,594777,Angels,2018,RF,2,2,-2,2,1,2,2,0,87%,86%,1%
Calhoun, Willie,641432,Rangers,2018,LF,-3,-3,-1,-1,-1,0,-1,-2,80%,87%,-7%
Camargo, Johan,622666,Braves,2018,3B,2,3,3,-3,4,-1,0,3,85%,84%,1%
Candelario, Jeimer,600869,Tigers,2018,3B,0,0,0,-3,4,-1,2,-2,88%,88%,0%
Canha, Mark,592192,Athletics,2018,CF,0,-1,-3,2,-1,1,2,-2,89%,89%,0%
Cano, Robinson,429664,Mariners,2018,2B,2,3,1,2,1,-1,-1,3,90%,88%,2%
Caratini, Victor,605170,Cubs,2018,1B,1,1,0,1,0,0,1,0,80%,75%,5%
Carpenter, Matt,572761,Cardinals,2018,3B,-3,-4,-1,-1,-1,1,-2,-2,87%,88%,-1%
Castellanos, Nicholas,592206,Tigers,2018,RF,-21,-24,-2,-11,-7,-3,-12,-11,80%,86%,-6%
Castro, Daniel,593495,Rockies,2018,2B,1,1,0,0,0,0,0,1,96%,92%,4%
Castro, Harold,605612,Tigers,2018,SS,0,0,0,0,0,0,0,0,92%,88%,4%
Castro, Starlin,516770,Marlins,2018,2B,0,1,1,1,-3,1,2,-1,90%,90%,0%
Cave, Jake,595909,Twins,2018,CF,-1,-1,0,-2,3,-1,0,0,87%,87%,0%
Cespedes, Yoenis,493316,Mets,2018,LF,-4,-5,-1,0,-3,0,-3,-2,79%,85%,-6%
Chapman, Matt,656305,Athletics,2018,3B,6,8,2,1,5,0,8,1,88%,86%,2%
Chisenhall, Lonnie,502082,Indians,2018,RF,-1,-1,0,-2,0,0,-1,0,84%,87%,-3%
Choo, Shin-Soo,425783,Rangers,2018,RF,-5,-5,0,-1,-3,0,-3,-2,82%,86%,-4%
Conforto, Michael,624424,Mets,2018,LF,4,5,2,2,3,-2,0,5,91%,90%,1%
Cooper, Garrett,643265,Marlins,2018,LF,0,0,0,0,-1,0,1,-1,90%,90%,0%
Cordell, Ryan,641477,White Sox,2018,CF,0,0,-1,0,1,0,1,-1,89%,88%,1%
Cordero, Franchy,614173,Padres,2018,LF,-2,-2,-1,0,0,-1,-1,-2,79%,82%,-3%
Correa, Carlos,621043,Astros,2018,SS,10,13,7,3,3,1,7,6,91%,87%,4%
Cowart, Kaleb,592230,Angels,2018,2B,-1,-1,1,-1,-1,0,-1,0,87%,88%,-1%
Cozart, Zack,446359,Angels,2018,3B,-6,-8,-5,-1,-1,-1,-7,-1,83%,89%,-6%
Cozens, Dylan,622226,Phillies,2018,LF,0,0,0,1,0,0,0,0,94%,91%,3%
Crawford, Brandon,543063,Giants,2018,SS,4,5,5,-6,6,1,4,2,88%,87%,1%
Crawford, J.P.,641487,Phillies,2018,SS,-4,-6,-2,-3,0,0,-2,-4,78%,84%,-6%
Cron, C.J.,543068,Rays,2018,1B,0,0,1,-2,1,0,0,-1,89%,89%,0%
Cuevas, Noel,571595,Rockies,2018,RF,-1,-1,0,0,-1,-1,0,-1,87%,89%,-2%
Culberson, Charlie,518586,Braves,2018,SS,-1,-1,0,-2,0,0,-1,0,83%,84%,-1%
Cuthbert, Cheslor,596144,Royals,2018,3B,1,1,1,-2,3,-1,2,-1,87%,84%,3%
Dahl, David,621311,Rockies,2018,LF,-2,-2,-1,-1,-1,0,0,-2,86%,88%,-2%
Davidson, Matt,571602,White Sox,2018,1B,-1,-1,-1,-1,1,0,0,-1,92%,92%,0%
Davis, Chris,448801,Orioles,2018,1B,1,1,2,-1,1,-1,1,0,90%,89%,1%
Davis, J.D.,605204,Astros,2018,3B,-2,-2,-2,0,0,0,0,-2,83%,87%,-4%
Davis, Jonathan,641505,Blue Jays,2018,CF,0,0,0,0,-1,0,0,0,91%,91%,0%
Davis, Khris,501981,Athletics,2018,LF,-3,-3,0,-1,0,-2,-2,-1,76%,91%,-15%
Davis, Rajai,434658,Indians,2018,CF,-1,-1,-2,0,1,0,-1,1,88%,89%,-1%
DeJong, Paul,657557,Cardinals,2018,SS,-3,-5,-2,-4,-1,2,-4,-1,87%,89%,-2%
DeShields, Delino,592261,Rangers,2018,CF,10,12,1,0,6,4,8,4,88%,84%,4%
Dean, Austin,621573,Marlins,2018,LF,-3,-3,0,-2,-1,-1,-2,-1,80%,85%,-5%
Delmonico, Nicky,547170,White Sox,2018,LF,0,0,0,0,-1,0,0,0,86%,86%,0%
Descalso, Daniel,518614,Diamondbacks,2018,2B,-9,-12,0,-10,0,-2,-7,-6,84%,90%,-6%
Desmond, Ian,435622,Rockies,2018,1B,-1,-1,0,-2,-1,2,-5,4,90%,91%,-1%
Devers, Rafael,646240,Red Sox,2018,3B,-5,-7,0,-7,2,-2,-8,1,82%,84%,-2%
Diaz, Aledmys,649557,Blue Jays,2018,SS,1,2,4,-6,3,1,2,0,87%,86%,1%
Diaz, Yandy,650490,Indians,2018,1B,-1,-1,0,-1,0,0,-1,0,89%,93%,-4%
Dickerson, Corey,572816,Pirates,2018,LF,9,10,4,2,5,0,2,8,92%,88%,4%
Dietrich, Derek,518618,Marlins,2018,LF,-11,-13,1,-4,-7,-3,-11,-2,82%,88%,-6%
Difo, Wilmer,594694,Nationals,2018,2B,1,2,0,1,2,-1,3,-1,89%,89%,0%
Dixon, Brandon,641525,Reds,2018,1B,1,1,1,0,0,0,1,0,95%,92%,3%
Donaldson, Josh,518626,---,2018,3B,1,2,0,0,2,0,2,0,88%,86%,2%
Dozier, Brian,572821,---,2018,2B,-10,-13,-3,-3,-4,-4,-11,-3,85%,88%,-3%
Dozier, Hunter,641531,Royals,2018,3B,-4,-5,1,-2,-3,0,-3,-2,83%,87%,-4%
Drury, Brandon,592273,---,2018,3B,-2,-2,-3,0,0,0,-2,0,85%,91%,-6%
Duda, Lucas,446263,---,2018,1B,1,2,-1,3,0,0,1,1,93%,92%,1%
Duffy, Matt,622110,Rays,2018,3B,-3,-4,2,-6,-2,1,-2,-2,87%,88%,-1%
Duggar, Steven,621453,Giants,2018,CF,3,4,0,2,1,1,3,1,94%,90%,4%
Duvall, Adam,594807,---,2018,LF,6,7,1,3,3,0,2,5,90%,87%,3%
Dyson, Jarrod,502481,Diamondbacks,2018,CF,2,3,0,2,2,-1,1,2,95%,93%,2%
Eaton, Adam,594809,Nationals,2018,RF,-5,-6,0,-1,-5,0,-4,-2,82%,86%,-4%
Encarnacion, Edwin,429665,Indians,2018,1B,-1,-1,0,-1,0,0,0,-1,93%,95%,-2%
Engel, Adam,641553,White Sox,2018,CF,15,16,1,6,5,4,11,5,92%,87%,5%
Ervin, Phillip,640447,Reds,2018,LF,-3,-3,-1,-3,-1,1,-2,-1,84%,87%,-3%
Escobar, Alcides,444876,Royals,2018,SS,-4,-6,0,-2,-2,-2,-4,-1,83%,84%,-1%
Escobar, Eduardo,500871,---,2018,3B,-4,-6,-2,-7,4,-1,-2,-3,85%,87%,-2%
Farmer, Kyle,571657,Dodgers,2018,3B,1,1,0,1,0,0,1,1,90%,86%,4%
Fernandez, Jose Miguel,628336,Angels,2018,1B,0,0,-1,1,0,0,0,0,92%,90%,2%
Field, Johnny,608654,---,2018,LF,0,0,1,0,-1,1,0,-1,89%,90%,-1%
Fisher, Derek,605233,Astros,2018,LF,0,0,-1,1,1,0,0,0,89%,89%,0%
Flaherty, Ryan,475247,Braves,2018,3B,-1,-1,0,0,-1,0,1,-2,89%,91%,-2%
Fletcher, David,664058,Angels,2018,2B,4,6,2,2,2,0,5,1,91%,88%,3%
Flores, Wilmer,527038,Mets,2018,1B,0,0,-2,1,2,-1,1,0,88%,87%,1%
Florimon, Pedro,465753,Phillies,2018,SS,0,0,-2,0,1,1,-1,1,88%,89%,-1%
Forsythe, Logan,523253,---,2018,2B,-3,-4,-5,-2,2,0,-4,0,89%,90%,-1%
Fowler, Dexter,451594,Cardinals,2018,RF,-4,-5,0,-3,-2,0,-2,-2,84%,87%,-3%
Fowler, Dustin,641583,Athletics,2018,CF,-1,-1,-1,0,1,-1,0,-2,83%,84%,-1%
Franco, Maikel,596748,Phillies,2018,3B,-3,-3,3,-7,2,-1,-3,0,83%,84%,-1%
Frazier, Adam,624428,Pirates,2018,2B,3,3,-1,3,2,0,3,1,90%,89%,1%
Frazier, Clint,640449,Yankees,2018,LF,-1,-2,0,-1,-1,0,-2,0,75%,83%,-8%
Frazier, Todd,453943,Mets,2018,3B,1,2,0,-2,4,0,-2,4,86%,85%,1%
Freeman, Freddie,518692,Braves,2018,1B,1,1,-1,1,1,0,1,0,90%,90%,0%
Freese, David,501896,---,2018,3B,0,0,0,-1,1,0,1,0,89%,88%,1%
Gallo, Joey,608336,Rangers,2018,LF,1,1,2,2,2,-3,1,0,88%,88%,0%
Galloway, Isaac,543194,Marlins,2018,CF,1,1,0,0,1,0,0,1,94%,91%,3%
Galvis, Freddy,520471,Padres,2018,SS,9,12,5,1,8,-2,10,3,88%,86%,2%
Gamel, Ben,592325,Mariners,2018,LF,-2,-2,1,-1,-1,-1,-2,0,88%,89%,-1%
Garcia, Avisail,541645,White Sox,2018,RF,3,4,0,1,1,2,4,0,86%,84%,2%
Garcia, Greg,594824,Cardinals,2018,2B,-2,-2,-1,0,-1,-1,-1,-2,86%,88%,-2%
Garcia, Leury,544725,White Sox,2018,LF,0,0,1,-1,0,0,-4,4,87%,87%,0%
Gardner, Brett,458731,Yankees,2018,LF,1,1,1,1,1,-1,0,1,88%,88%,0%
Gennett, Scooter,571697,Reds,2018,2B,-4,-5,-1,1,-1,-3,-3,-2,85%,86%,-1%
Gentry, Craig,502226,Orioles,2018,RF,3,3,1,0,0,1,0,3,92%,88%,4%
Gerber, Mike,595222,Tigers,2018,CF,-1,-1,0,0,-1,0,-1,0,89%,92%,-3%
Goins, Ryan,572365,Royals,2018,2B,3,4,1,1,2,0,3,1,97%,92%,5%
Goldschmidt, Paul,502671,Diamondbacks,2018,1B,1,2,3,-1,0,-1,-3,4,93%,92%,1%
Gomez, Carlos,460576,Rays,2018,RF,1,2,5,-2,-1,-1,3,-1,89%,89%,0%
Gonzalez, Adrian,408236,Mets,2018,1B,0,1,-1,1,0,0,0,1,91%,90%,1%
Gonzalez, Carlos,471865,Rockies,2018,RF,2,2,5,0,1,-5,4,-3,85%,84%,1%
Gonzalez, Erik,570481,Indians,2018,2B,-5,-7,-3,-4,1,0,-3,-3,82%,88%,-6%
Gonzalez, Marwin,503556,Astros,2018,SS,0,-1,-1,0,1,-1,-2,2,88%,89%,-1%
Goodrum, Niko,592348,Tigers,2018,2B,0,0,-2,-7,9,0,3,-4,89%,89%,0%
Goodwin, Brian,571718,---,2018,CF,0,0,1,0,-1,0,1,-1,90%,90%,0%
Gordon, Alex,460086,Royals,2018,LF,2,2,2,-1,-1,2,3,-1,87%,87%,0%
Gordon, Dee,543829,Mariners,2018,2B,-9,-12,-3,-3,-5,-1,-6,-6,85%,88%,-3%
Gosselin, Phil,594838,Reds,2018,3B,1,1,1,0,0,0,1,0,92%,84%,8%
Granderson, Curtis,434158,---,2018,RF,-6,-6,-2,-1,-2,-1,-2,-4,82%,86%,-4%
Gregorius, Didi,544369,Yankees,2018,SS,-5,-7,-6,0,-1,1,-9,2,88%,90%,-2%
Grichuk, Randal,545341,Blue Jays,2018,RF,6,7,2,0,0,5,4,2,90%,87%,3%
Grossman, Robbie,543257,Twins,2018,RF,-1,-1,0,1,0,-1,0,0,85%,86%,-1%
Guerra, Javy,642770,Padres,2018,SS,-2,-3,-3,0,0,0,-2,0,80%,95%,-15%
Guillorme, Luis,641645,Mets,2018,3B,-1,-2,0,0,0,-1,-2,0,75%,79%,-4%
Gurriel Jr., Lourdes,666971,Blue Jays,2018,SS,0,0,0,0,0,0,-2,2,86%,86%,0%
Gurriel, Yuli,493329,Astros,2018,1B,1,1,1,-1,2,0,0,1,91%,90%,1%
Guyer, Brandon,446386,Indians,2018,RF,-1,-1,0,0,0,-1,-1,0,88%,89%,-1%
Guzman, Ronald,608597,Rangers,2018,1B,1,1,-1,1,0,1,0,1,92%,92%,0%
Gyorko, Jedd,576397,Cardinals,2018,3B,-1,-1,2,-6,4,-1,1,-2,84%,84%,0%
Hamilton, Billy,571740,Reds,2018,CF,14,16,1,7,8,-1,11,5,89%,85%,4%
Hampson, Garrett,641658,Rockies,2018,2B,-1,-1,-1,-1,0,0,-1,-1,88%,92%,-4%
Haniger, Mitch,571745,Mariners,2018,RF,-5,-6,-2,-4,0,0,-4,-2,87%,88%,-1%
Hanson, Alen,593700,Giants,2018,2B,-5,-6,-5,-2,2,0,-2,-3,82%,85%,-3%
Happ, Ian,664023,Cubs,2018,CF,-8,-9,-1,-3,-3,-3,-4,-5,83%,88%,-5%
Harper, Bryce,547180,Nationals,2018,RF,-12,-13,-1,-5,-4,-4,-7,-6,86%,90%,-4%
Harrison, Josh,543281,Pirates,2018,2B,-4,-5,-2,-2,-1,1,0,-5,85%,87%,-2%
Headley, Chase,452104,Padres,2018,3B,0,0,0,0,1,0,-1,0,83%,84%,-1%
Healy, Ryon,592387,Mariners,2018,1B,-5,-6,-2,-2,0,-1,-3,-3,89%,92%,-3%
Hechavarria, Adeiny,588751,---,2018,SS,-1,-1,2,-1,-2,0,-4,3,88%,88%,0%
Heredia, Guillermo,628338,Mariners,2018,CF,5,6,0,-1,6,0,5,1,89%,86%,3%
Hermosillo, Michael,641684,Angels,2018,CF,1,1,0,-1,0,2,-1,1,92%,91%,1%
Hernandez, Cesar,514917,Phillies,2018,2B,-2,-3,-1,-3,2,-1,0,-3,88%,89%,-1%
Hernandez, Enrique,571771,Dodgers,2018,2B,3,3,0,3,1,-1,3,0,86%,85%,1%
Hernandez, Gorkys,491676,Giants,2018,CF,5,6,-1,2,0,4,4,1,90%,88%,2%
Hernandez, Teoscar,606192,Blue Jays,2018,LF,-6,-7,2,1,-6,-2,-8,1,83%,86%,-3%
Herrera, Dilson,599096,Reds,2018,2B,-1,-1,0,-1,1,-2,0,-2,88%,91%,-3%
Herrera, Odubel,546318,Phillies,2018,CF,-1,-1,-2,3,1,-3,-3,2,89%,89%,0%
Herrera, Rosell,594011,---,2018,RF,1,1,0,2,-3,3,1,0,88%,87%,1%
Heyward, Jason,518792,Cubs,2018,RF,4,4,2,5,-1,-1,4,0,89%,87%,2%
Hicks, Aaron,543305,Yankees,2018,CF,-3,-4,0,-4,1,-1,-1,-3,89%,91%,-2%
Hicks, John,543308,Tigers,2018,1B,-3,-4,1,-2,-2,0,-2,-2,88%,94%,-6%
Holliday, Matt,407812,Rockies,2018,LF,-2,-3,0,-1,-2,0,-3,0,65%,81%,-16%
Holt, Brock,571788,Red Sox,2018,2B,2,3,2,-2,2,1,2,1,89%,87%,2%
Hoskins, Rhys,656555,Phillies,2018,LF,-16,-18,-5,-3,-7,-4,-9,-9,84%,89%,-5%
Hosmer, Eric,543333,Padres,2018,1B,0,0,0,0,-2,0,1,-1,91%,91%,0%
Iglesias, Jose,578428,Tigers,2018,SS,1,2,1,-1,1,0,0,1,87%,86%,1%
Inciarte, Ender,542255,Braves,2018,CF,19,21,1,8,11,1,16,5,93%,88%,5%
Jackson, Austin,457706,---,2018,CF,-1,-2,-1,0,0,-1,-2,0,86%,87%,-1%
Jankowski, Travis,608671,Padres,2018,RF,6,7,1,2,2,2,6,1,93%,90%,3%
Jay, Jon,445055,---,2018,RF,-3,-3,1,0,-3,-2,-1,-2,87%,88%,-1%
Johnson, Sherman,582473,Angels,2018,2B,0,0,0,0,0,-1,0,0,82%,84%,-2%
Jones, Adam,430945,Orioles,2018,CF,-13,-14,-1,-5,-5,-2,-4,-10,82%,86%,-4%
Jones, JaCoby,592444,Tigers,2018,CF,6,7,1,2,4,0,5,2,91%,89%,2%
Joyce, Matt,459964,Athletics,2018,LF,1,1,1,0,0,0,-2,3,85%,84%,1%
Judge, Aaron,592450,Yankees,2018,RF,1,1,3,1,-3,0,3,-2,88%,88%,0%
Kemp, Matt,461314,Dodgers,2018,LF,-5,-6,0,-1,-3,-2,-5,-1,85%,88%,-3%
Kemp, Tony,643393,Astros,2018,LF,0,0,1,0,-1,1,-1,1,86%,86%,0%
Kendrick, Howie,435062,Nationals,2018,2B,2,3,1,1,1,-1,0,3,91%,87%,4%
Kepler, Max,596146,Twins,2018,RF,8,9,3,4,0,3,6,3,90%,88%,2%
Kiermaier, Kevin,595281,Rays,2018,CF,7,7,1,4,2,0,4,3,93%,90%,3%
Kiner-Falefa, Isiah,643396,Rangers,2018,3B,6,7,3,0,5,0,6,2,90%,86%,4%
Kingery, Scott,664068,Phillies,2018,SS,-5,-6,-1,-7,1,0,-4,-2,85%,87%,-2%
Kinsler, Ian,435079,---,2018,2B,3,4,3,-2,2,1,1,3,91%,89%,2%
Kipnis, Jason,543401,Indians,2018,2B,-4,-5,-1,-1,-4,1,-2,-3,90%,92%,-2%
Kozma, Pete,518902,Tigers,2018,SS,2,3,2,0,1,1,2,1,89%,83%,6%
Kramer, Kevin,596012,Pirates,2018,3B,-2,-3,0,-2,-1,0,-1,-2,67%,85%,-18%
La Stella, Tommy,600303,Cubs,2018,3B,-2,-3,-2,-1,0,0,-3,0,82%,88%,-6%
LaMarre, Ryan,534606,---,2018,CF,2,2,2,1,1,-1,1,1,88%,86%,2%
Lagares, Juan,501571,Mets,2018,CF,0,0,-1,1,0,-1,0,-1,90%,90%,0%
Lamb, Jake,571875,Diamondbacks,2018,3B,-1,-1,1,-2,0,0,2,-3,89%,90%,-1%
Laureano, Ramon,657656,Athletics,2018,CF,2,2,1,1,0,0,4,-2,84%,82%,2%
LeMahieu, DJ,518934,Rockies,2018,2B,10,14,4,3,5,1,6,8,92%,89%,3%
Lin, Tzu-Wei,624407,Red Sox,2018,SS,-2,-2,-3,0,1,0,-2,0,86%,90%,-4%
Lindor, Francisco,596019,Indians,2018,SS,9,12,6,0,6,0,8,4,86%,84%,2%
Longoria, Evan,446334,Giants,2018,3B,-2,-2,-2,-3,2,1,-3,0,88%,89%,-1%
Lowe, Brandon,664040,Rays,2018,2B,0,0,-1,1,1,0,0,0,90%,89%,1%
Lowrie, Jed,476704,Athletics,2018,2B,7,9,2,5,3,-1,3,6,93%,90%,3%
Lugo, Dawel,608475,Tigers,2018,2B,-1,-1,0,-2,1,0,0,-1,84%,86%,-2%
Luplow, Jordan,656669,Pirates,2018,LF,1,2,0,0,0,1,0,1,93%,90%,3%
Machado, Dixon,553988,Tigers,2018,2B,0,-1,-2,2,-1,0,2,-3,89%,89%,0%
Machado, Manny,592518,---,2018,SS,2,2,8,-7,3,-1,2,0,85%,84%,1%
Mahtook, Mikie,543484,Tigers,2018,LF,1,1,0,0,1,0,2,-2,88%,88%,0%
Mancini, Trey,641820,Orioles,2018,LF,-7,-7,4,-4,-4,-2,-3,-4,85%,87%,-2%
Margot, Manuel,622534,Padres,2018,CF,12,13,1,5,5,2,12,1,91%,87%,4%
Marisnick, Jake,545350,Astros,2018,CF,11,13,2,5,3,3,7,6,95%,87%,8%
Markakis, Nick,455976,Braves,2018,RF,1,1,3,1,-2,0,0,2,87%,87%,0%
Marrero, Deven,571918,Diamondbacks,2018,3B,1,1,0,-1,1,1,0,0,90%,88%,2%
Marte, Jefry,527043,Angels,2018,1B,-6,-8,-2,-6,0,0,-3,-5,78%,87%,-9%
Marte, Ketel,606466,Diamondbacks,2018,2B,7,10,5,-3,7,1,8,2,89%,87%,2%
Marte, Starling,516782,Pirates,2018,CF,9,10,2,2,6,-1,5,4,91%,89%,2%
Martin, Leonys,547982,---,2018,CF,3,4,1,4,0,-1,5,-1,89%,88%,1%
Martin, Russell,431145,Blue Jays,2018,3B,0,0,1,-1,1,-1,-1,1,87%,87%,0%
Martinez, J.D.,502110,Red Sox,2018,RF,-7,-8,-1,-2,-4,0,-4,-4,82%,87%,-5%
Martinez, Jose,500874,Cardinals,2018,1B,-6,-7,-1,-2,-3,0,0,-6,83%,86%,-3%
Martini, Nick,605361,Athletics,2018,LF,1,1,0,-1,1,1,0,1,90%,89%,1%
Mauer, Joe,408045,Twins,2018,1B,-1,-1,1,1,-1,-2,-2,0,89%,90%,-1%
Maybin, Cameron,457727,---,2018,CF,2,2,1,1,2,-1,3,-1,90%,89%,1%
Mazara, Nomar,608577,Rangers,2018,RF,-7,-8,-2,-4,1,-4,-6,-2,81%,84%,-3%
