last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Sanchez, Yolmer,570560,145,CWS,3B,26,308,4.25,28.1
Altuve, Jose,514888,117,HOU,2B,28,273,4.13,28.1
Myers, Wil,571976,135,SD,3B,28,119,4.35,28.1
Bonifacio, Jorge,593528,118,KC,RF,25,88,4.33,28.1
Ward, Taylor,621493,108,LAA,3B,25,40,4.44,28.1
Odor, Rougned,596059,140,TEX,2B,24,178,4.14,28.1
Souza Jr., Steven,519306,109,ARI,RF,29,97,4.31,28.1
d'Arnaud, Chase,488818,137,SF,2B,31,26,4.26,28.1
Fletcher, David,664058,108,LAA,2B,24,136,4.24,28.1
Betts, Mookie,605141,111,BOS,RF,26,236,4.18,28.1
Desmond, Ian,435622,115,COL,1B,33,317,4.36,28.1
Dean, Austin,621573,146,MIA,LF,25,50,4.27,28.1
Hicks, Aaron,543305,147,NYY,CF,29,197,4.17,28.1
Rosario, Eddie,592696,142,MIN,LF,27,234,4.19,28.0
Rodriguez, Ronny,500135,116,DET,SS,26,81,4.25,28.0
Kiner-Falefa, Isiah,643396,140,TEX,3B,23,204,4.27,28.0
Ervin, Phillip,640447,113,CIN,LF,26,82,4.27,28.0
Perez, Hernan,541650,158,MIL,2B,27,131,4.38,28.0
Tomlinson, Kelby,605509,137,SF,2B,28,68,4.24,28.0
Crawford, J.P.,641487,143,PHI,SS,23,49,4.38,28.0
Iglesias, Jose,578428,116,DET,SS,28,221,4.16,28.0
Gurriel Jr., Lourdes,666971,141,TOR,SS,25,100,4.29,28.0
Urias, Luis,649966,135,SD,2B,21,27,4.29,28.0
Bryant, Kris,592178,112,CHC,3B,26,156,4.29,28.0
Gregorius, Didi,544369,147,NYY,SS,28,228,4.24,28.0
Gomez, Carlos,460576,139,TB,RF,33,117,4.43,28.0
Murphy, Tom,608596,115,COL,C,27,27,4.38,28.0
Judge, Aaron,592450,147,NYY,RF,26,156,4.56,28.0
Torreyes, Ronald,591720,147,NYY,2B,26,46,4.15,28.0
Slater, Austin,596103,137,SF,LF,26,95,4.37,28.0
Duvall, Adam,594807,144,ATL,LF,30,122,4.35,28.0
Field, Johnny,608654,142,MIN,LF,26,83,4.30,28.0
Diaz, Aledmys,649557,141,TOR,SS,28,182,4.30,27.9
Guyer, Brandon,446386,114,CLE,RF,32,83,4.36,27.9
Wisdom, Patrick,621550,138,STL,3B,27,16,,27.9
Jansen, Danny,643376,141,TOR,C,23,37,4.29,27.9
Ortega, Rafael,542364,146,MIA,RF,27,58,4.32,27.9
Torres, Ramon,593527,118,KC,3B,25,18,,27.9
Segura, Jean,516416,136,SEA,SS,28,310,4.21,27.9
Kepler, Max,596146,142,MIN,RF,25,237,4.27,27.9
Thompson, Trayce,572204,145,CWS,RF,27,38,4.34,27.9
Almora Jr., Albert,546991,112,CHC,CF,24,235,4.34,27.9
Escobar, Eduardo,500871,109,ARI,3B,29,230,4.27,27.8
Inciarte, Ender,542255,144,ATL,CF,28,289,4.12,27.9
Kozma, Pete,518902,116,DET,SS,30,37,4.33,27.8
Polanco, Gregory,570256,134,PIT,RF,27,173,4.18,27.8
Upton, Justin,457708,108,LAA,LF,31,202,4.37,27.8
Andujar, Miguel,609280,147,NYY,3B,23,283,4.31,27.8
Bogaerts, Xander,593428,111,BOS,SS,26,270,4.23,27.8
Dickerson, Corey,572816,134,PIT,LF,29,211,4.22,27.8
Bregman, Alex,608324,117,HOU,3B,24,296,4.31,27.8
Pillar, Kevin,607680,141,TOR,CF,29,186,4.34,27.8
Bradley Jr., Jackie,598265,111,BOS,CF,28,214,4.26,27.8
Avelino, Abiatal,623214,137,SF,SS,23,8,,27.8
Haniger, Mitch,571745,136,SEA,RF,28,247,4.38,27.8
Ozuna, Marcell,542303,138,STL,LF,28,248,4.42,27.8
Conforto, Michael,624424,121,NYM,LF,25,217,4.35,27.8
Rosales, Adam,489267,114,CLE,2B,35,8,,27.8
Bauers, Jake,641343,139,TB,1B,23,135,4.19,27.8
Riddle, JT,595375,146,MIA,SS,27,139,4.37,27.8
Stanton, Giancarlo,519317,147,NYY,DH,29,240,4.45,27.8
Cave, Jake,595909,142,MIN,CF,26,132,4.28,27.8
Hernandez, Enrique,571771,119,LAD,CF,27,176,4.35,27.8
Castellanos, Nicholas,592206,116,DET,RF,26,232,4.29,27.7
Grossman, Robbie,543257,142,MIN,RF,29,194,4.27,27.8
McNeil, Jeff,643446,121,NYM,2B,26,117,4.09,27.8
Bote, David,623520,112,CHC,3B,25,100,4.31,27.7
Benintendi, Andrew,643217,111,BOS,LF,24,273,4.22,27.7
Miller, Brad,543543,158,MIL,1B,29,85,4.28,27.7
Correa, Carlos,621043,117,HOU,SS,24,175,4.32,27.7
Schebler, Scott,594988,113,CIN,RF,28,168,4.23,27.7
Williams, Mason,592863,113,CIN,RF,27,54,4.23,27.7
Moroff, Max,621559,134,PIT,2B,25,16,,27.7
Tocci, Carlos,624636,140,TEX,CF,23,57,4.37,27.7
Machado, Dixon,553988,116,DET,2B,26,99,4.43,27.7
Lin, Tzu-Wei,624407,111,BOS,SS,24,32,4.22,27.7
Duffy, Matt,622110,139,TB,3B,27,278,4.42,27.7
Reddick, Josh,502210,117,HOU,RF,31,166,4.24,27.7
Valera, Breyvic,591971,110,BAL,2B,26,29,4.21,27.7
Robertson, Daniel,621002,139,TB,2B,24,146,4.44,27.7
Springer, George,543807,117,HOU,CF,29,277,4.31,27.7
Span, Denard,452655,136,SEA,LF,34,200,4.34,27.7
Rondon, Jose,602922,145,CWS,3B,24,41,4.38,27.7
Refsnyder, Rob,608701,139,TB,LF,27,32,4.33,27.7
Wong, Kolten,543939,138,STL,2B,28,172,4.16,27.7
Happ, Ian,664023,112,CHC,CF,24,140,4.31,27.6
Villar, Jonathan,542340,110,BAL,2B,27,206,4.21,27.6
Herrera, Dilson,599096,113,CIN,2B,24,21,,27.6
Gallo, Joey,608336,140,TEX,LF,25,109,4.42,27.6
Blackmon, Charlie,453568,115,COL,CF,32,272,4.27,27.6
Heyward, Jason,518792,112,CHC,RF,29,222,4.33,27.6
Goodwin, Brian,571718,118,KC,CF,28,58,4.19,27.6
Mercer, Jordy,474568,134,PIT,SS,32,149,4.35,27.6
Contreras, Willson,575929,112,CHC,C,26,242,4.32,27.6
Canha, Mark,592192,133,OAK,CF,29,160,4.34,27.6
Profar, Jurickson,595777,140,TEX,SS,25,262,4.30,27.6
Smolinski, Jake,519295,133,OAK,CF,29,18,4.38,27.6
Stewart, DJ,621466,110,BAL,LF,25,15,,27.6
Kemp, Tony,643393,117,HOU,LF,27,130,4.15,27.6
Gurriel, Yuli,493329,117,HOU,1B,34,272,4.32,27.6
Diaz, Yandy,650490,114,CLE,DH,27,56,4.44,27.6
Escobar, Alcides,444876,118,KC,SS,32,237,4.33,27.6
Muncy, Max,571970,119,LAD,1B,28,147,4.30,27.6
Valaika, Pat,642162,115,COL,1B,26,44,4.36,27.5
Urena, Richard,620446,141,TOR,SS,22,34,,27.5
Martin, Leonys,547982,114,CLE,CF,30,124,4.30,27.5
Schoop, Jonathan,570731,158,MIL,2B,27,202,4.48,27.5
Naquin, Tyler,571980,114,CLE,RF,27,77,4.36,27.5
Russell, Addison,608365,112,CHC,SS,24,183,4.25,27.5
Nunez, Eduardo,456488,111,BOS,2B,31,251,4.25,27.5
Harper, Bryce,547180,120,WSH,RF,26,204,4.35,27.5
McKinney, Billy,641856,141,TOR,LF,24,41,4.27,27.5
Eaton, Adam,594809,120,WSH,RF,30,145,4.17,27.5
Reyes, Jose,408314,121,NYM,3B,35,105,4.18,27.5
Lowe, Brandon,664040,139,TB,2B,24,59,4.23,27.5
Cooper, Garrett,643265,146,MIA,1B,28,15,,27.5
Cespedes, Yoenis,493316,121,NYM,LF,33,36,4.39,27.5
Jackson, Austin,457706,121,NYM,CF,31,121,4.51,27.5
Castro, Harold,605612,116,DET,SS,25,6,,27.5
Ramirez, Jose,608070,114,CLE,3B,26,252,4.28,27.5
Gonzalez, Carlos,471865,115,COL,RF,33,223,4.26,27.5
Gonzalez, Erik,570481,114,CLE,2B,27,69,4.32,27.4
Murphy, John Ryan,571974,109,ARI,C,27,56,4.35,27.4
Fowler, Dexter,451594,138,STL,RF,32,108,4.33,27.4
Asuaje, Carlos,641319,135,SD,2B,27,68,4.34,27.4
Robinson, Drew,592685,140,TEX,CF,26,29,4.39,27.4
Barnes, Austin,605131,119,LAD,C,29,96,4.41,27.4
Osuna, Jose,591741,134,PIT,1B,26,53,4.43,27.4
Castro, Starlin,516770,146,MIA,2B,28,289,4.38,27.4
Romine, Andrew,461865,136,SEA,SS,33,44,4.35,27.4
Suzuki, Ichiro,400085,136,SEA,LF,45,22,4.10,27.3
Garcia, Greg,594824,138,STL,2B,29,85,4.23,27.3
Candelario, Jeimer,600869,116,DET,3B,25,219,4.41,27.3
Nunez, Renato,600524,110,BAL,3B,24,98,4.48,27.3
Forsythe, Logan,523253,142,MIN,2B,31,162,4.51,27.3
Nottingham, Jacob,641924,158,MIL,C,23,9,,27.3
Orf, Nate,644337,158,MIL,2B,28,6,,27.3
Renfroe, Hunter,592669,135,SD,LF,26,136,4.37,27.3
Rendon, Anthony,543685,120,WSH,3B,28,225,4.37,27.3
Severino, Pedro,600474,120,WSH,C,25,74,4.31,27.3
Frazier, Adam,624428,134,PIT,2B,27,160,4.33,27.3
Pinder, Chad,640461,133,OAK,LF,26,103,4.45,27.3
Devers, Rafael,646240,111,BOS,3B,22,194,4.30,27.3
Peralta, David,444482,109,ARI,LF,31,278,4.35,27.2
Marrero, Deven,571918,109,ARI,3B,28,31,4.49,27.2
Soto, Juan,665742,120,WSH,LF,20,225,4.20,27.2
Austin, Tyler,592122,142,MIN,1B,27,83,4.48,27.2
Beckham, Tim,542921,110,BAL,SS,28,155,4.41,27.2
