last_name, first_name,fielder_2,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
Iannetta, Chris,455104,2019,1242,-2,46.9,23.9,53.7,30.0,74.2,60.4,35.9,34.1,23.3
Ramos, Wilson,467092,2019,3527,-4,46.8,24.7,58.2,34.9,63.3,67.3,22.6,33.1,16.5
Maile, Luke,571912,2019,1154,-2,46.7,17.7,47.1,27.7,61.0,66.0,41.3,51.6,20.8
Suzuki, Kurt,435559,2019,2273,-4,46.6,28.6,47.0,22.8,67.7,60.4,33.3,44.3,18.0
Narvaez, Omar,553882,2019,2828,-5,46.6,20.0,43.1,31.0,58.9,64.7,32.7,45.5,27.3
Hicks, John,543308,2019,1717,-4,46.4,20.0,39.9,24.4,64.9,65.7,33.1,45.2,21.1
Sucre, Jesus,491696,2019,475,0,46.3,16.1,31.0,35.7,64.7,62.1,23.8,55.0,21.8
Taylor, Beau,607333,2019,273,0,46.2,10.5,53.6,18.2,66.7,77.3,18.5,41.7,23.3
Severino, Pedro,600474,2019,2521,-4,46.1,19.5,42.8,20.3,64.1,61.7,31.6,48.3,22.5
Phegley, Josh,572033,2019,2660,-9,46.0,19.1,45.5,19.1,66.6,59.9,28.3,43.7,25.5
Wolters, Tony,547172,2019,3060,-9,45.9,15.2,46.3,17.2,63.4,65.5,31.9,47.1,22.4
Graterol, Juan,492802,2019,125,0,45.6,20.0,54.5,50.0,50.0,59.3,60.0,38.7,22.2
Viloria, Meibrys,650619,2019,1220,-3,45.3,22.1,36.0,25.5,58.3,67.9,29.1,49.1,19.5
Perez, Michael,605421,2019,437,-1,45.1,21.1,53.1,21.9,73.2,57.5,33.3,42.7,9.3
Vogt, Stephen,519390,2019,1413,-3,44.9,16.2,30.1,21.4,65.0,62.9,29.8,49.6,28.7
Butera, Drew,460077,2019,414,0,44.7,14.3,41.9,0.0,61.0,52.4,45.0,55.7,20.9
McCann, James,543510,2019,3007,-16,44.7,22.0,50.5,27.0,65.3,63.1,20.5,44.2,13.2
Diaz, Elias,553869,2019,2549,-9,44.6,20.1,47.1,23.5,63.3,61.6,33.0,38.8,19.9
Allen, Austin,664119,2019,418,0,44.5,13.5,31.7,15.0,66.0,58.9,33.3,47.6,24.2
Hundley, Nick,460026,2019,680,-1,44.3,23.1,52.1,24.2,66.7,66.0,28.9,33.6,14.0
Sisco, Chance,642082,2019,1367,-5,44.0,14.4,40.0,18.8,67.2,59.4,33.3,43.2,18.1
Holaday, Bryan,592407,2019,999,-3,43.6,19.2,36.7,15.0,57.9,66.8,32.9,42.0,22.3
Wieters, Matt,446308,2019,1227,-6,43.0,14.0,47.8,14.8,68.3,54.9,26.5,40.9,19.1
Castillo, Welington,456078,2019,1399,-8,42.8,9.4,52.5,17.2,57.9,64.4,30.9,38.6,25.0
Smith, Kevan,607345,2019,1471,-8,42.6,15.4,52.5,19.8,63.9,64.5,17.6,37.6,17.1
Dini, Nick,664926,2019,515,-2,42.5,8.3,29.3,10.5,54.8,61.5,37.7,45.5,36.1
Farmer, Kyle,571657,2019,272,0,42.3,17.4,44.8,20.0,74.3,63.1,6.3,36.4,20.7
Kiner-Falefa, Isiah,643396,2019,1108,-6,42.3,20.3,36.6,10.9,64.4,53.4,21.5,46.4,20.6
Knizner, Andrew,668800,2019,449,-2,42.1,20.0,58.8,23.5,58.1,66.3,26.1,24.7,7.0
Swihart, Blake,596119,2019,209,0,40.7,16.7,38.1,26.7,58.1,63.5,20.0,28.9,21.7
Collins, Zack,641470,2019,320,-1,40.3,18.2,38.9,12.5,64.9,51.8,22.6,34.6,21.2
Stubbs, Garrett,596117,2019,231,-1,39.8,25.0,34.5,21.4,53.7,45.7,40.0,50.0,14.8
Centeno, Juan,518542,2019,118,0,36.4,0.0,58.8,50.0,50.0,59.1,25.0,11.1,0.0
