last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Bruce, Jay,457803,2019,333,231,0.216,0.243,-0.027,0.523,0.541,-0.018,0.318,0.34,-0.022
Diaz, Elias,553869,2019,332,251,0.241,0.245,-0.004,0.307,0.334,-0.027,0.265,0.281,-0.016
Cuthbert, Cheslor,596144,2019,330,242,0.246,0.251,-0.005,0.379,0.384,-0.005,0.287,0.292,-0.005
Beckham, Tim,542921,2019,328,202,0.237,0.228,0.009,0.461,0.435,0.026,0.315,0.303,0.012
Lucroy, Jonathan,518960,2019,328,245,0.232,0.245,-0.013,0.355,0.387,-0.032,0.286,0.306,-0.02
Lowe, Brandon,664040,2019,327,184,0.27,0.244,0.026,0.514,0.507,0.007,0.354,0.346,0.008
Hampson, Garrett,641658,2019,327,215,0.247,0.227,0.02,0.385,0.329,0.056,0.292,0.265,0.027
La Stella, Tommy,600303,2019,321,264,0.295,0.296,-0.001,0.486,0.482,0.004,0.351,0.35,0.001
Correa, Carlos,621043,2019,321,208,0.28,0.29,-0.01,0.57,0.559,0.011,0.38,0.391,-0.011
Marisnick, Jake,545350,2019,318,200,0.233,0.202,0.031,0.411,0.328,0.083,0.297,0.255,0.042
Pence, Hunter,452254,2019,316,219,0.297,0.284,0.013,0.552,0.508,0.044,0.377,0.358,0.019
McCann, Brian,435263,2019,316,230,0.249,0.241,0.008,0.412,0.406,0.006,0.312,0.314,-0.002
Flowers, Tyler,452095,2019,310,168,0.229,0.198,0.031,0.413,0.383,0.03,0.31,0.289,0.021
Martin, Richie,621006,2019,309,206,0.208,0.216,-0.008,0.322,0.302,0.02,0.252,0.25,0.002
Suzuki, Kurt,435559,2019,309,247,0.264,0.278,-0.014,0.486,0.459,0.027,0.337,0.338,-0.001
Dietrich, Derek,518618,2019,306,178,0.187,0.224,-0.037,0.462,0.453,0.009,0.334,0.351,-0.017
Parra, Gerardo,467827,2019,301,218,0.234,0.248,-0.014,0.391,0.387,0.004,0.288,0.298,-0.01
Riley, Austin,663586,2019,297,168,0.226,0.225,0.001,0.471,0.456,0.015,0.307,0.305,0.002
Gallo, Joey,608336,2019,297,129,0.253,0.229,0.024,0.598,0.605,-0.007,0.401,0.395,0.006
Tauchman, Mike,643565,2019,296,190,0.277,0.248,0.029,0.504,0.412,0.092,0.364,0.323,0.041
Sandoval, Pablo,467055,2019,296,210,0.268,0.275,-0.007,0.507,0.483,0.024,0.336,0.336,0
Guzman, Ronald,608597,2019,295,173,0.219,0.238,-0.019,0.414,0.433,-0.019,0.306,0.326,-0.02
Holt, Brock,571788,2019,295,206,0.297,0.271,0.026,0.402,0.372,0.03,0.333,0.317,0.016
Buxton, Byron,621439,2019,295,206,0.262,0.249,0.013,0.513,0.433,0.08,0.34,0.309,0.031
Rodriguez, Ronny,500135,2019,294,199,0.221,0.228,-0.007,0.438,0.432,0.006,0.283,0.29,-0.007
Naquin, Tyler,571980,2019,294,212,0.288,0.277,0.011,0.467,0.472,-0.005,0.33,0.327,0.003
Reyes, Victor,622682,2019,292,214,0.304,0.283,0.021,0.431,0.379,0.052,0.325,0.3,0.025
Zunino, Mike,572287,2019,289,168,0.165,0.194,-0.029,0.312,0.38,-0.068,0.235,0.271,-0.036
Lugo, Dawel,608475,2019,288,218,0.245,0.264,-0.019,0.381,0.394,-0.013,0.272,0.29,-0.018
Berti, Jon,542932,2019,287,184,0.273,0.258,0.015,0.406,0.378,0.028,0.327,0.313,0.014
Osuna, Jose,591741,2019,285,217,0.264,0.274,-0.01,0.456,0.447,0.009,0.32,0.328,-0.008
Flores, Wilmer,527038,2019,285,235,0.317,0.287,0.03,0.487,0.439,0.048,0.359,0.329,0.03
Lagares, Juan,501571,2019,285,186,0.213,0.208,0.005,0.326,0.291,0.035,0.258,0.244,0.014
Haniger, Mitch,571745,2019,283,167,0.22,0.225,-0.005,0.463,0.456,0.007,0.326,0.327,-0.001
Moore, Dylan,664238,2019,282,155,0.206,0.193,0.013,0.389,0.338,0.051,0.299,0.277,0.022
Kinsler, Ian,435079,2019,281,205,0.217,0.205,0.012,0.368,0.303,0.065,0.277,0.252,0.025
Duggar, Steven,621453,2019,281,186,0.234,0.238,-0.004,0.341,0.354,-0.013,0.265,0.276,-0.011
Murphy, Tom,608596,2019,281,174,0.273,0.218,0.055,0.535,0.44,0.095,0.355,0.301,0.054
Vogt, Stephen,519390,2019,280,193,0.263,0.254,0.009,0.49,0.487,0.003,0.331,0.328,0.003
