last_name, first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
Brown, Seth,664913,Athletics,2019,LF,1,2,0,0,1,1,0,2,91%,86%,5%
Broxton, Keon,542979,---,2019,CF,8,9,2,4,4,0,5,4,93%,88%,5%
Bruce, Jay,457803,---,2019,LF,-1,-1,-1,1,0,-2,0,-1,86%,87%,-1%
Bryant, Kris,592178,Cubs,2019,3B,1,1,0,1,-1,0,-2,3,88%,88%,0%
Buxton, Byron,621439,Twins,2019,CF,11,12,1,4,5,2,9,3,93%,88%,5%
Cabrera, Asdrubal,452678,---,2019,3B,5,7,2,1,4,0,5,2,89%,87%,2%
Cabrera, Melky,466320,Pirates,2019,RF,-4,-4,0,-2,-1,-1,-2,-3,80%,83%,-3%
Cabrera, Miguel,408234,Tigers,2019,1B,-1,-1,-1,-1,0,0,0,-1,92%,96%,-4%
Cain, Lorenzo,456715,Brewers,2019,CF,12,14,-1,6,7,1,10,4,90%,86%,4%
Calhoun, Kole,594777,Angels,2019,RF,0,0,0,-3,4,-1,2,-1,85%,84%,1%
Calhoun, Willie,641432,Rangers,2019,LF,-6,-7,-2,-3,0,-1,-5,-2,84%,89%,-5%
Camargo, Johan,622666,Braves,2019,SS,-3,-3,0,-5,1,1,-4,1,86%,89%,-3%
Candelario, Jeimer,600869,Tigers,2019,3B,2,3,1,-1,4,-1,3,0,87%,85%,2%
Canha, Mark,592192,Athletics,2019,CF,2,2,0,1,1,1,1,2,88%,87%,1%
Cano, Robinson,429664,Mets,2019,2B,-1,-1,0,-2,2,-1,0,0,84%,85%,-1%
Caratini, Victor,605170,Cubs,2019,1B,-1,-1,0,-2,0,0,0,-1,81%,89%,-8%
Carpenter, Matt,572761,Cardinals,2019,3B,5,6,2,0,5,-1,4,3,91%,87%,4%
Castellanos, Nicholas,592206,---,2019,RF,-6,-7,0,-4,-2,0,-4,-3,86%,88%,-2%
Castro, Harold,605612,Tigers,2019,2B,-3,-3,0,-3,0,0,0,-3,88%,90%,-2%
Castro, Starlin,516770,Marlins,2019,2B,8,10,2,-1,5,4,6,4,90%,87%,3%
Castro, Willi,650489,Tigers,2019,SS,-2,-3,-2,0,1,-2,-2,-1,85%,89%,-4%
Cave, Jake,595909,Twins,2019,RF,2,2,1,1,0,0,3,-1,91%,89%,2%
Chang, Yu,644374,Indians,2019,3B,1,2,2,0,0,0,1,1,90%,85%,5%
Chapman, Matt,656305,Athletics,2019,3B,10,14,8,1,4,1,13,1,89%,85%,4%
Chavis, Michael,656308,Red Sox,2019,2B,3,4,0,2,1,0,1,3,90%,87%,3%
Choi, Ji-Man,596847,Rays,2019,1B,-1,-2,-1,-3,2,1,0,-2,90%,92%,-2%
Choo, Shin-Soo,425783,Rangers,2019,LF,-11,-12,-4,-1,-6,0,-7,-5,80%,87%,-7%
Conforto, Michael,624424,Mets,2019,RF,6,6,4,1,0,1,4,2,86%,84%,2%
Cooper, Garrett,643265,Marlins,2019,1B,3,4,3,1,0,0,2,3,91%,89%,2%
Cordell, Ryan,641477,White Sox,2019,RF,7,7,2,2,4,0,6,1,88%,83%,5%
Cordero, Franchy,614173,Padres,2019,CF,0,0,0,0,0,0,0,0,80%,81%,-1%
Correa, Carlos,621043,Astros,2019,SS,6,9,4,2,2,1,6,2,89%,85%,4%
Court, Ryan,606956,Mariners,2019,LF,0,0,0,0,0,-1,1,-1,81%,79%,2%
Cowart, Kaleb,592230,Angels,2019,3B,-1,-1,0,0,0,0,-1,0,88%,92%,-4%
Cozart, Zack,446359,Angels,2019,3B,1,1,0,0,0,1,1,0,95%,93%,2%
Crawford, Brandon,543063,Giants,2019,SS,-3,-4,4,-4,-2,-1,2,-6,85%,86%,-1%
Crawford, J.P.,641487,Mariners,2019,SS,1,2,4,-2,0,0,2,0,89%,88%,1%
Cron, C.J.,543068,Twins,2019,1B,1,1,0,2,-1,0,1,0,90%,89%,1%
Culberson, Charlie,518586,Braves,2019,LF,0,0,0,0,0,0,-2,1,88%,88%,0%
Cuthbert, Cheslor,596144,Royals,2019,3B,-4,-5,-2,-1,-2,0,-4,-2,85%,89%,-4%
Dahl, David,621311,Rockies,2019,CF,2,2,2,2,-1,-1,-1,3,85%,84%,1%
Davis, Chris,448801,Orioles,2019,1B,0,0,-3,3,1,-1,-3,3,88%,88%,0%
Davis, J.D.,605204,Mets,2019,LF,-5,-5,-4,-2,1,0,-1,-4,80%,83%,-3%
Davis, Jaylin,664041,Giants,2019,RF,-2,-2,0,0,0,-2,-2,0,83%,91%,-8%
Davis, Jonathan,641505,Blue Jays,2019,CF,3,3,0,2,1,-1,1,2,90%,85%,5%
Daza, Yonathan,602074,Rockies,2019,CF,1,1,-2,1,2,0,1,0,93%,90%,3%
DeJong, Paul,657557,Cardinals,2019,SS,10,13,6,-5,10,1,8,4,91%,88%,3%
DeShields, Delino,592261,Rangers,2019,CF,11,12,0,7,3,2,7,5,91%,87%,4%
Dean, Austin,621573,Marlins,2019,LF,-5,-5,-1,0,-2,-3,-1,-5,81%,87%,-6%
Delmonico, Nicky,547170,White Sox,2019,LF,-3,-3,-1,-1,-1,0,-1,-2,81%,89%,-8%
Demeritte, Travis,641513,Tigers,2019,RF,-5,-5,1,-3,-3,0,-3,-2,82%,86%,-4%
Descalso, Daniel,518614,Cubs,2019,2B,-3,-4,1,-2,-1,-1,-3,-1,86%,90%,-4%
Desmond, Ian,435622,Rockies,2019,CF,-8,-8,-2,-1,-4,-1,-4,-4,82%,86%,-4%
Devers, Rafael,646240,Red Sox,2019,3B,5,7,-1,-4,9,3,4,3,85%,83%,2%
Diaz, Aledmys,649557,Astros,2019,2B,2,2,3,-2,1,1,0,3,87%,85%,2%
Diaz, Isan,656371,Marlins,2019,2B,-3,-4,-3,1,-3,0,-4,0,84%,87%,-3%
Diaz, Yandy,650490,Rays,2019,3B,-2,-2,0,-2,0,0,-2,0,87%,89%,-2%
Dickerson, Alex,543105,---,2019,LF,-2,-2,0,0,-3,0,0,-2,86%,88%,-2%
Dickerson, Corey,572816,---,2019,LF,0,0,1,0,2,-3,0,0,85%,85%,0%
Dietrich, Derek,518618,Reds,2019,2B,-2,-2,0,-2,0,-1,0,-2,87%,89%,-2%
Difo, Wilmer,594694,Nationals,2019,SS,1,1,0,-3,3,1,2,-1,84%,83%,1%
Dixon, Brandon,641525,Tigers,2019,1B,0,-1,0,0,-1,1,-2,1,88%,88%,0%
Donaldson, Josh,518626,Braves,2019,3B,6,8,5,1,3,0,11,-3,87%,84%,3%
Dozier, Brian,572821,Nationals,2019,2B,-5,-6,-2,-4,0,-1,-4,-2,85%,87%,-2%
Dozier, Hunter,641531,Royals,2019,3B,-2,-2,1,-1,-2,1,-2,0,87%,88%,-1%
Drury, Brandon,592273,Blue Jays,2019,3B,4,5,4,-2,2,0,1,4,87%,85%,2%
Dubon, Mauricio,643289,Giants,2019,2B,-1,-2,-2,-1,1,0,-2,0,85%,87%,-2%
Duda, Lucas,446263,Royals,2019,1B,-1,-1,0,-1,0,0,-1,0,73%,76%,-3%
Duffy, Matt,622110,Rays,2019,3B,-2,-2,-1,0,-2,0,-2,-1,83%,85%,-2%
Duggar, Steven,621453,Giants,2019,CF,5,5,0,3,2,0,4,1,91%,88%,3%
Duvall, Adam,594807,Braves,2019,LF,0,0,0,1,-1,0,0,0,84%,83%,1%
Dyson, Jarrod,502481,Diamondbacks,2019,CF,5,6,0,5,1,0,2,4,90%,87%,3%
Eaton, Adam,594809,Nationals,2019,RF,1,1,1,0,-2,1,5,-5,86%,85%,1%
Edman, Tommy,669242,Cardinals,2019,3B,4,5,1,3,-2,4,0,5,89%,87%,2%
Elmore, Jake,518653,Pirates,2019,RF,-1,-2,0,0,-1,0,-2,1,77%,86%,-9%
Encarnacion, Edwin,429665,---,2019,1B,1,1,1,-1,1,0,-1,2,88%,86%,2%
Engel, Adam,641553,White Sox,2019,CF,6,6,1,2,1,2,3,4,92%,88%,4%
Ervin, Phillip,640447,Reds,2019,LF,3,4,1,1,1,0,3,1,90%,87%,3%
Escobar, Eduardo,500871,Diamondbacks,2019,3B,-3,-4,-3,-1,0,0,-2,-2,84%,85%,-1%
Estrada, Thairo,642731,Yankees,2019,SS,1,1,2,0,-1,0,1,0,85%,82%,3%
Farmer, Kyle,571657,Reds,2019,2B,1,1,0,1,0,0,1,0,88%,87%,1%
Fisher, Derek,605233,---,2019,LF,-3,-3,-1,-1,-1,-1,-1,-2,82%,85%,-3%
Flaherty, Ryan,475247,Indians,2019,3B,-1,-1,-1,-1,1,0,1,-2,84%,88%,-4%
Fletcher, David,664058,Angels,2019,3B,6,8,5,2,1,0,5,3,90%,88%,2%
Flores, Wilmer,527038,Diamondbacks,2019,2B,1,2,0,1,1,0,2,0,87%,86%,1%
Ford, Mike,645801,Yankees,2019,1B,2,2,1,1,0,0,1,1,94%,87%,7%
Forsythe, Logan,523253,Rangers,2019,3B,-3,-4,-2,0,-3,1,-5,1,85%,88%,-3%
Fowler, Dexter,451594,Cardinals,2019,RF,-5,-6,1,-2,-7,2,-3,-3,84%,86%,-2%
Fraley, Jake,641584,Mariners,2019,CF,0,0,0,1,0,0,0,1,83%,81%,2%
France, Ty,664034,Padres,2019,3B,-1,-1,0,-1,0,-1,0,-1,85%,86%,-1%
Franco, Maikel,596748,Phillies,2019,3B,-6,-7,1,-3,-4,-1,-4,-4,81%,84%,-3%
Frazier, Adam,624428,Pirates,2019,2B,9,11,1,2,7,1,6,5,94%,90%,4%
Frazier, Clint,640449,Yankees,2019,RF,-11,-13,-3,-4,-4,-2,-8,-4,72%,85%,-13%
Frazier, Todd,453943,Mets,2019,3B,-1,-1,0,-4,2,0,-1,0,89%,89%,0%
Freeman, Freddie,518692,Braves,2019,1B,1,2,2,2,-1,-1,-1,3,92%,91%,1%
Freeman, Mike,502273,Indians,2019,2B,-1,-1,0,0,0,-1,-2,1,90%,90%,0%
Freese, David,501896,Dodgers,2019,1B,0,0,1,1,-1,-1,0,1,93%,92%,1%
Fuentes, Josh,658069,Rockies,2019,1B,1,1,1,0,0,0,1,1,100%,92%,8%
Gallo, Joey,608336,Rangers,2019,CF,0,1,0,0,0,0,-2,3,90%,89%,1%
Galloway, Isaac,543194,Marlins,2019,CF,1,1,0,0,0,1,1,0,97%,94%,3%
Galvis, Freddy,520471,---,2019,SS,9,12,6,2,2,1,10,3,90%,87%,3%
Gamel, Ben,592325,Brewers,2019,LF,2,2,1,2,-1,0,-1,3,89%,88%,1%
Garcia, Avisail,541645,Rays,2019,RF,3,3,1,1,1,1,0,3,90%,88%,2%
Garcia, Greg,594824,Padres,2019,2B,-1,-1,-2,2,-1,-1,-1,0,86%,87%,-1%
Garcia, Leury,544725,White Sox,2019,CF,1,1,-1,2,-1,1,1,0,86%,85%,1%
Garcia, Robel,596825,Cubs,2019,2B,0,0,0,0,0,-1,-1,1,94%,94%,0%
Gardner, Brett,458731,Yankees,2019,CF,2,2,0,0,3,-1,-1,3,87%,86%,1%
Garlick, Kyle,664247,Dodgers,2019,LF,0,0,1,0,-1,0,0,0,87%,87%,0%
Gennett, Scooter,571697,---,2019,2B,-3,-3,-1,-2,1,-1,-1,-3,87%,91%,-4%
Goins, Ryan,572365,White Sox,2019,3B,-1,-2,0,0,1,-2,-1,-1,83%,85%,-2%
Goldschmidt, Paul,502671,Cardinals,2019,1B,4,5,3,1,0,1,4,1,95%,92%,3%
Gomez, Carlos,460576,Mets,2019,CF,0,0,0,0,2,-2,2,-2,85%,85%,0%
Gonzalez, Carlos,471865,---,2019,LF,1,1,0,0,0,0,0,1,94%,93%,1%
Gonzalez, Erik,570481,Pirates,2019,SS,0,0,-1,0,2,-1,1,-1,90%,90%,0%
Gonzalez, Marwin,503556,Twins,2019,3B,2,4,0,2,1,0,2,2,90%,88%,2%
Goodrum, Niko,592348,Tigers,2019,SS,6,8,-1,2,7,0,10,-2,90%,87%,3%
Goodwin, Brian,571718,Angels,2019,LF,4,5,0,1,1,3,0,5,90%,88%,2%
Gordon, Alex,460086,Royals,2019,LF,-4,-5,-1,-3,0,0,-2,-3,85%,86%,-1%
Gordon, Dee,543829,Mariners,2019,2B,0,0,2,-2,0,0,-1,1,89%,89%,0%
Gore, Terrance,605253,Royals,2019,LF,4,4,0,1,1,2,1,3,91%,80%,11%
Gosselin, Phil,594838,Phillies,2019,SS,-1,-2,-2,0,0,0,-2,0,72%,83%,-11%
Grandal, Yasmani,518735,Brewers,2019,1B,0,0,1,0,-1,0,0,0,90%,92%,-2%
Granderson, Curtis,434158,Marlins,2019,LF,-3,-3,1,-1,-3,0,-3,0,84%,86%,-2%
Gregorius, Didi,544369,Yankees,2019,SS,-10,-13,-12,-2,-1,1,-9,-4,83%,89%,-6%
Grichuk, Randal,545341,Blue Jays,2019,RF,5,6,-1,-1,5,3,5,1,90%,88%,2%
Grisham, Trent,663757,Brewers,2019,CF,4,5,1,3,0,1,3,1,93%,86%,7%
Grossman, Robbie,543257,Athletics,2019,LF,2,2,1,1,-2,1,0,2,86%,85%,1%
Guerrero Jr., Vladimir,665489,Blue Jays,2019,3B,-12,-16,-10,-4,-2,0,-11,-6,78%,86%,-8%
Guillorme, Luis,641645,Mets,2019,SS,0,1,1,-1,1,0,0,0,88%,86%,2%
Gurriel Jr., Lourdes,666971,Blue Jays,2019,LF,-4,-5,1,0,-5,0,-3,-2,81%,85%,-4%
Gurriel, Yuli,493329,Astros,2019,1B,1,2,4,-1,0,-1,-1,3,91%,90%,1%
Gutierrez, Kelvin,642721,Royals,2019,3B,-1,-1,-1,0,0,0,0,-1,85%,87%,-2%
Guzman, Ronald,608597,Rangers,2019,1B,-1,-1,0,0,-2,0,-1,0,90%,91%,-1%
Gyorko, Jedd,576397,---,2019,3B,4,5,1,1,3,0,4,1,93%,82%,11%
Hamilton, Billy,571740,---,2019,CF,6,7,-2,2,6,0,4,3,90%,87%,3%
Hampson, Garrett,641658,Rockies,2019,2B,0,0,1,-2,-2,3,2,-2,89%,89%,0%
Haniger, Mitch,571745,Mariners,2019,RF,3,3,1,1,1,1,3,0,90%,88%,2%
Hanson, Alen,593700,Blue Jays,2019,2B,0,0,0,0,-1,0,-1,0,92%,93%,-1%
Happ, Ian,664023,Cubs,2019,2B,0,0,1,-2,1,-1,-1,1,88%,88%,0%
Harper, Bryce,547180,Phillies,2019,RF,1,1,4,-3,0,0,3,-2,86%,86%,0%
Harrison, Josh,543281,Tigers,2019,2B,-1,-1,-1,-1,0,1,2,-3,89%,89%,0%
Haseley, Adam,656514,Phillies,2019,CF,2,2,0,1,2,0,3,0,88%,87%,1%
Hays, Austin,669720,Orioles,2019,CF,1,1,0,0,0,0,1,0,90%,88%,2%
Healy, Ryon,592387,Mariners,2019,3B,-4,-5,0,-2,-2,-1,-5,0,81%,86%,-5%
Hechavarria, Adeiny,588751,---,2019,SS,-2,-2,0,-1,0,0,-2,-1,83%,84%,-1%
Heineman, Scott,595981,Rangers,2019,CF,1,1,0,0,1,0,0,1,88%,86%,2%
Heredia, Guillermo,628338,Rays,2019,CF,3,4,0,0,4,0,1,3,90%,88%,2%
Hermosillo, Michael,641684,Angels,2019,LF,2,2,0,1,0,1,2,1,89%,82%,7%
Hernandez, Cesar,514917,Phillies,2019,2B,3,4,-2,-3,4,4,6,-2,88%,87%,1%
Hernandez, Enrique,571771,Dodgers,2019,2B,0,0,0,0,0,0,0,0,90%,90%,0%
Hernandez, Gorkys,491676,Red Sox,2019,RF,0,0,0,0,0,0,0,0,89%,89%,0%
Hernandez, Marco,593523,Red Sox,2019,2B,-2,-2,1,-1,-2,0,1,-4,82%,86%,-4%
Hernandez, Teoscar,606192,Blue Jays,2019,CF,-4,-5,-1,-3,1,-1,-3,-2,88%,89%,-1%
Herrera, Odubel,546318,Phillies,2019,CF,0,0,-1,1,1,0,1,0,84%,84%,0%
Herrera, Rosell,594011,Marlins,2019,CF,-2,-3,-1,-2,0,0,-3,0,82%,87%,-5%
Heyward, Jason,518792,Cubs,2019,CF,7,8,2,3,2,0,9,-1,88%,85%,3%
Hicks, Aaron,543305,Yankees,2019,CF,-2,-2,-1,-1,1,-2,1,-3,87%,88%,-1%
Hicks, John,543308,Tigers,2019,1B,0,0,0,0,0,0,1,0,92%,90%,2%
Hilliard, Sam,656541,Rockies,2019,CF,0,0,0,-1,0,0,-1,1,91%,92%,-1%
Hiura, Keston,669374,Brewers,2019,2B,-5,-7,-4,-5,0,1,-4,-3,80%,83%,-3%
Hoerner, Nico,663538,Cubs,2019,SS,0,0,1,0,0,-1,-1,1,81%,81%,0%
Holt, Brock,571788,Red Sox,2019,2B,2,3,4,-1,0,0,2,1,90%,88%,2%
Hoskins, Rhys,656555,Phillies,2019,1B,3,4,3,2,-1,0,1,2,92%,90%,2%
Hosmer, Eric,543333,Padres,2019,1B,-4,-6,0,-4,0,-1,-4,-1,88%,90%,-2%
Iglesias, Jose,578428,Reds,2019,SS,9,12,2,0,8,2,9,3,90%,87%,3%
Inciarte, Ender,542255,Braves,2019,CF,3,3,0,1,3,-1,3,1,92%,90%,2%
Jay, Jon,445055,White Sox,2019,RF,-5,-5,-1,-3,-2,0,-3,-2,75%,81%,-6%
Jimenez, Eloy,650391,White Sox,2019,LF,-10,-11,-4,-4,-1,-2,-4,-7,83%,88%,-5%
Jones, Adam,430945,Diamondbacks,2019,RF,-6,-6,-1,-3,-5,2,-4,-2,83%,85%,-2%
Jones, JaCoby,592444,Tigers,2019,CF,0,1,0,0,0,0,2,-1,87%,86%,1%
Joseph, Corban,543377,---,2019,2B,-2,-3,-1,0,-3,0,0,-2,82%,90%,-8%
Joyce, Matt,459964,Braves,2019,RF,0,0,-2,0,1,0,-1,0,81%,81%,0%
Judge, Aaron,592450,Yankees,2019,RF,7,8,0,2,4,3,5,3,91%,87%,4%
Kang, Jung Ho,628356,Pirates,2019,3B,-3,-4,-2,0,-1,-1,-4,-1,78%,82%,-4%
Kemp, Matt,461314,Reds,2019,LF,-1,-1,-1,0,1,-1,-1,0,65%,70%,-5%
Kemp, Tony,643393,---,2019,2B,7,9,2,2,2,3,8,1,90%,84%,6%
Kendrick, Howie,435062,Nationals,2019,2B,-3,-3,0,-2,-1,-1,-2,-1,89%,91%,-2%
Kepler, Max,596146,Twins,2019,RF,6,7,1,3,3,0,5,2,92%,89%,3%
Kieboom, Carter,666198,Nationals,2019,SS,-1,-1,0,-1,0,0,0,-1,88%,91%,-3%
Kiermaier, Kevin,595281,Rays,2019,CF,15,17,2,7,8,0,10,7,93%,86%,7%
Kiner-Falefa, Isiah,643396,Rangers,2019,3B,3,5,2,0,2,0,4,0,94%,86%,8%
Kingery, Scott,664068,Phillies,2019,CF,2,3,-1,0,3,0,2,1,89%,88%,1%
Kinsler, Ian,435079,Padres,2019,2B,1,1,2,-1,0,0,-1,2,87%,86%,1%
Kipnis, Jason,543401,Indians,2019,2B,-5,-6,-2,-2,-2,0,-4,-2,87%,89%,-2%
Kramer, Kevin,596012,Pirates,2019,RF,0,0,0,0,0,0,0,0,93%,95%,-2%
La Stella, Tommy,600303,Angels,2019,2B,0,0,2,-1,1,-1,3,-3,86%,86%,0%
LaMarre, Ryan,534606,Twins,2019,CF,0,0,1,-1,0,0,0,0,92%,92%,0%
Lagares, Juan,501571,Mets,2019,CF,4,5,1,2,2,0,3,2,87%,85%,2%
Lamb, Jake,571875,Diamondbacks,2019,3B,-1,-1,-1,-4,2,3,0,-2,83%,84%,-1%
Laureano, Ramon,657656,Athletics,2019,CF,-5,-5,1,0,-2,-3,-4,-1,87%,88%,-1%
LeMahieu, DJ,518934,Yankees,2019,2B,5,6,3,-3,7,-1,7,-1,90%,88%,2%
Lewis, Kyle,641786,Mariners,2019,RF,2,2,2,1,0,0,2,1,90%,85%,5%
Leyba, Domingo,642736,Diamondbacks,2019,2B,-1,-1,-1,1,0,0,-1,0,80%,84%,-4%
Lin, Tzu-Wei,624407,Red Sox,2019,2B,0,0,0,-1,0,0,-1,0,91%,95%,-4%
Lindor, Francisco,596019,Indians,2019,SS,8,11,3,2,8,-2,7,4,88%,85%,3%
Locastro, Tim,641796,Diamondbacks,2019,LF,2,2,-1,2,2,-1,0,2,86%,84%,2%
Long, Shed,643418,Mariners,2019,2B,-4,-5,0,-4,-1,0,-1,-3,77%,82%,-5%
Longoria, Evan,446334,Giants,2019,3B,2,3,1,-2,3,0,1,2,87%,86%,1%
Lopes, Tim,621005,Mariners,2019,LF,0,1,0,0,0,1,0,1,94%,93%,1%
Lopez, Nicky,670032,Royals,2019,2B,3,4,3,-1,5,-2,3,1,91%,90%,1%
Lorenzen, Michael,547179,Reds,2019,CF,2,2,1,1,1,0,2,0,93%,85%,8%
