last_name, first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
Abreu, Jose,547989,White Sox,2019,1B,-2,-3,-2,1,0,-1,-1,-3,86%,87%,-1%
Acuna Jr., Ronald,660670,Braves,2019,CF,-1,-1,1,-2,0,0,-3,1,89%,89%,0%
Adames, Cristhian,542436,Giants,2019,3B,0,1,0,0,0,0,0,0,90%,85%,5%
Adames, Willy,642715,Rays,2019,SS,3,4,3,-1,0,2,3,1,86%,86%,0%
Adams, Matt,571431,Nationals,2019,1B,1,1,-2,2,1,1,0,1,93%,92%,1%
Adrianza, Ehire,501303,Twins,2019,SS,-1,-2,0,-4,2,-1,1,-3,84%,85%,-1%
Aguilar, Jesus,542583,---,2019,1B,0,0,-2,2,0,0,1,-1,89%,89%,0%
Ahmed, Nick,605113,Diamondbacks,2019,SS,12,16,10,0,5,2,8,8,90%,87%,3%
Alberto, Hanser,593643,Orioles,2019,2B,5,6,3,-3,5,2,3,3,91%,89%,2%
Albies, Ozzie,645277,Braves,2019,2B,-1,-2,1,-10,8,-1,2,-4,85%,85%,0%
Alford, Anthony,546990,Blue Jays,2019,RF,1,1,0,0,1,0,0,1,100%,95%,5%
Allen, Greg,656185,Indians,2019,LF,3,3,1,1,0,1,2,2,91%,89%,2%
Almonte, Abraham,501659,Diamondbacks,2019,RF,0,0,-1,0,0,1,0,0,93%,90%,3%
Almora Jr., Albert,546991,Cubs,2019,CF,3,3,2,6,-1,-4,6,-2,86%,85%,1%
Alonso, Pete,624413,Mets,2019,1B,-5,-7,1,-6,0,-1,-2,-5,87%,90%,-3%
Alonso, Yonder,475174,---,2019,1B,0,0,0,-1,0,0,1,-1,95%,95%,0%
Altherr, Aaron,571437,---,2019,CF,0,0,0,0,0,0,0,1,90%,89%,1%
Altuve, Jose,514888,Astros,2019,2B,-1,-1,2,-2,0,-1,1,-2,85%,85%,0%
Alvarez, Yordan,670541,Astros,2019,LF,-2,-2,-1,0,-1,-1,-2,-1,77%,94%,-17%
Anderson, Brian,605119,Marlins,2019,3B,-1,0,-2,3,1,-2,2,-2,84%,84%,0%
Anderson, Tim,641313,White Sox,2019,SS,-1,-1,-8,0,5,1,-3,2,85%,85%,0%
Andrus, Elvis,462101,Rangers,2019,SS,4,5,8,-4,0,1,-2,7,86%,85%,1%
Aquino, Aristides,606157,Reds,2019,RF,4,4,1,4,-1,1,3,2,90%,86%,4%
Arcia, Orlando,606115,Brewers,2019,SS,-3,-4,-1,-2,-4,2,-7,2,85%,86%,-1%
Arenado, Nolan,571448,Rockies,2019,3B,13,17,0,4,12,1,12,5,89%,85%,4%
Arozarena, Randy,668227,Cardinals,2019,CF,0,0,0,0,0,0,0,0,100%,99%,1%
Arraez, Luis,650333,Twins,2019,2B,-7,-9,-1,-7,-1,0,-2,-6,86%,90%,-4%
Arroyo, Christian,624414,Rays,2019,3B,-1,-1,-2,0,0,0,-1,-1,76%,81%,-5%
Arteaga, Humberto,600858,Royals,2019,SS,-3,-4,-2,-1,-1,0,-3,-1,84%,88%,-4%
Astudillo, Willians,553902,Twins,2019,3B,-1,-1,0,0,-1,0,-1,0,85%,86%,-1%
Austin, Tyler,592122,---,2019,LF,-4,-5,0,-1,-3,-1,-2,-3,78%,89%,-11%
Bader, Harrison,664056,Cardinals,2019,CF,11,13,5,3,3,1,10,2,93%,88%,5%
Baez, Javier,595879,Cubs,2019,SS,14,19,7,4,7,1,13,6,88%,83%,5%
Barreto, Franklin,620439,Athletics,2019,2B,0,0,-1,-1,1,0,0,0,90%,90%,0%
Bauers, Jake,641343,Indians,2019,LF,-6,-7,1,-5,-2,0,-5,-2,83%,88%,-5%
Beaty, Matt,607461,Dodgers,2019,LF,-4,-5,-1,-3,0,-1,-1,-4,82%,86%,-4%
Beckham, Gordon,493596,Tigers,2019,2B,-2,-2,1,-3,0,0,1,-3,91%,92%,-1%
Beckham, Tim,542921,Mariners,2019,SS,-8,-11,-2,-8,-2,0,-6,-5,83%,89%,-6%
Bell, Josh,605137,Pirates,2019,1B,-4,-5,-1,-2,-1,-1,-3,-1,85%,88%,-3%
Bellinger, Cody,641355,Dodgers,2019,RF,7,8,4,2,3,-1,5,3,92%,89%,3%
Belt, Brandon,474832,Giants,2019,1B,2,2,1,0,1,1,-1,4,89%,88%,1%
Benintendi, Andrew,643217,Red Sox,2019,LF,-9,-10,0,-1,-6,-3,-6,-4,79%,83%,-4%
Berti, Jon,542932,Marlins,2019,SS,1,2,1,0,1,0,1,1,87%,86%,1%
Betts, Mookie,605141,Red Sox,2019,RF,6,7,2,0,3,1,7,0,88%,86%,2%
Bichette, Bo,666182,Blue Jays,2019,SS,-3,-4,-3,-2,0,0,-3,-1,86%,89%,-3%
Biggio, Cavan,624415,Blue Jays,2019,2B,5,7,3,0,4,0,1,6,92%,89%,3%
Bird, Greg,595885,Yankees,2019,1B,0,0,-1,0,1,0,0,0,85%,86%,-1%
Bishop, Braden,623323,Mariners,2019,CF,1,1,0,0,0,0,0,1,89%,88%,1%
Blackmon, Charlie,453568,Rockies,2019,RF,-8,-9,-1,-4,-4,-1,-6,-3,82%,85%,-3%
Blandino, Alex,607468,Reds,2019,2B,0,0,0,-1,0,0,0,0,95%,93%,2%
Bogaerts, Xander,593428,Red Sox,2019,SS,-3,-3,0,-2,-2,1,-6,3,87%,88%,-1%
Bolt, Skye,621450,Athletics,2019,CF,0,0,-1,0,0,0,0,0,91%,95%,-4%
Bonifacio, Jorge,593528,Royals,2019,RF,-1,-1,0,0,-1,0,0,-1,85%,90%,-5%
Bote, David,623520,Cubs,2019,3B,2,3,0,1,1,1,3,0,89%,87%,2%
Bour, Justin,571506,Angels,2019,1B,0,-1,-2,1,0,0,0,-1,91%,93%,-2%
Bourjos, Peter,488721,Angels,2019,CF,1,1,0,0,1,0,1,1,100%,95%,5%
Bradley Jr., Jackie,598265,Red Sox,2019,CF,6,6,2,4,1,-1,3,4,89%,87%,2%
Brantley, Michael,488726,Astros,2019,LF,-6,-6,0,-1,-5,-1,-3,-3,81%,84%,-3%
Braun, Ryan,460075,Brewers,2019,LF,-7,-8,2,-4,-5,-1,-6,-2,82%,86%,-4%
Bregman, Alex,608324,Astros,2019,3B,3,3,2,-1,2,0,3,1,88%,87%,1%
Brinson, Lewis,621446,Marlins,2019,CF,0,0,0,0,-1,1,0,0,91%,91%,0%
Brito, Socrates,593647,Blue Jays,2019,RF,0,0,0,0,0,0,0,0,86%,86%,0%
Brosseau, Michael,670712,Rays,2019,2B,-3,-3,-1,-2,-1,0,-3,0,84%,88%,-4%
