last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Robles, Victor,645302,120,WSH,RF,20,13,,30.9
Buxton, Byron,621439,142,MIN,CF,24,144,3.95,30.5
Sierra, Magneuris,642423,138,STL,RF,21,29,3.91,30.5
Engel, Adam,641553,145,CWS,CF,26,114,4.05,30.5
Turner, Trea,607208,120,WSH,SS,24,185,4.09,30.3
Hamilton, Billy,571740,113,CIN,CF,27,254,3.91,30.1
Rosario, Amed,642708,121,NYM,SS,22,68,4.04,30.1
Smith, Mallex,605480,139,TB,CF,24,119,4.01,30.1
DeShields, Delino,592261,140,TEX,LF,25,145,3.97,30.0
Zimmer, Bradley,605548,114,CLE,CF,25,114,4.07,30.0
Adams, Lane,572669,144,ATL,CF,28,41,4.15,29.9
Bader, Harrison,664056,138,STL,CF,23,32,4.09,29.9
Broxton, Keon,542979,158,MIL,CF,27,136,4.06,29.9
Bourjos, Peter,488721,139,TB,CF,30,89,4.06,29.9
Cordero, Franchy,614173,135,SD,CF,23,35,4.04,29.8
Davis, Rajai,434658,111,BOS,CF,37,159,4.03,29.6
Hannemann, Jacob,595238,136,SEA,CF,26,9,,29.5
Barreto, Franklin,620439,133,OAK,SS,21,16,,29.4
Gordon, Dee,543829,146,MIA,2B,29,368,3.89,29.4
Hernandez, Cesar,514917,143,PHI,2B,27,269,4.14,29.4
Margot, Manuel,622534,135,SD,CF,23,193,4.17,29.4
Tapia, Raimel,606132,115,COL,RF,23,78,4.06,29.4
Negron, Kristopher,502117,109,ARI,SS,31,14,,29.4
Fisher, Derek,605233,117,HOU,LF,24,63,4.07,29.4
Stubbs, Drew,453211,137,SF,CF,33,6,,29.3
Trout, Mike,545361,108,LAA,CF,26,173,4.25,29.3
Story, Trevor,596115,115,COL,SS,25,153,4.19,29.3
Calixte, Orlando,593525,137,SF,LF,25,16,4.21,29.3
Kiermaier, Kevin,595281,139,TB,CF,27,173,4.02,29.3
Hanson, Alen,593700,145,CWS,2B,25,112,4.01,29.2
Cordoba, Allen,642707,135,SD,LF,22,87,4.17,29.3
