last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Blackmon, Charlie,453568,2017,725,515,.331,.291,.040,.601,.523,.078,.414,.377,.037
Lindor, Francisco,596019,2017,723,566,.273,.291,-.018,.505,.515,-.010,.353,.372,-.019
Inciarte, Ender,542255,2017,718,575,.304,.268,.036,.409,.356,.053,.328,.297,.031
Betts, Mookie,605141,2017,712,554,.264,.279,-.015,.459,.444,.015,.339,.348,-.009
Votto, Joey,458015,2017,707,482,.320,.304,.016,.578,.569,.009,.428,.427,.001
Dozier, Brian,572821,2017,705,478,.271,.252,.019,.498,.484,.014,.362,.354,.008
Gordon, Dee,543829,2017,695,566,.308,.276,.032,.375,.332,.043,.312,.287,.025
Yelich, Christian,592885,2017,695,471,.282,.290,-.008,.439,.460,-.021,.348,.364,-.016
Stanton, Giancarlo,519317,2017,692,437,.281,.276,.005,.631,.586,.045,.411,.401,.010
Rizzo, Anthony,519203,2017,691,486,.273,.279,-.006,.507,.517,-.010,.380,.394,-.014
Machado, Manny,592518,2017,690,524,.259,.287,-.028,.471,.526,-.055,.328,.371,-.043
Andrus, Elvis,462101,2017,689,547,.297,.265,.032,.471,.412,.059,.344,.315,.029
Bautista, Jose,430832,2017,686,424,.203,.212,-.009,.366,.384,-.018,.295,.309,-.014
Gardner, Brett,458731,2017,682,480,.264,.278,-.014,.428,.416,.012,.336,.344,-.008
LeMahieu, DJ,518934,2017,682,527,.310,.310,.000,.409,.412,-.003,.342,.349,-.007
Arenado, Nolan,571448,2017,680,507,.309,.280,.029,.586,.529,.057,.395,.371,.024
Ozuna, Marcell,542303,2017,679,471,.312,.287,.025,.548,.519,.029,.388,.372,.016
Judge, Aaron,592450,2017,678,338,.284,.284,.000,.627,.651,-.024,.430,.446,-.016
Longoria, Evan,446334,2017,677,516,.261,.249,.012,.424,.417,.007,.313,.315,-.002
Abreu, Jose,547989,2017,675,506,.304,.292,.012,.552,.526,.026,.377,.371,.006
Schoop, Jonathan,570731,2017,675,487,.293,.272,.021,.503,.444,.059,.355,.336,.019
Hosmer, Eric,543333,2017,671,501,.318,.298,.020,.498,.467,.031,.376,.364,.012
Markakis, Nick,455976,2017,670,486,.275,.269,.006,.384,.390,-.006,.321,.327,-.006
Encarnacion, Edwin,429665,2017,669,426,.258,.266,-.008,.504,.535,-.031,.373,.393,-.020
Santana, Carlos,467793,2017,667,479,.259,.266,-.007,.455,.472,-.017,.350,.364,-.014
Cabrera, Melky,466320,2017,666,554,.285,.302,-.017,.423,.439,-.016,.319,.341,-.022
Goldschmidt, Paul,502671,2017,665,415,.297,.288,.009,.563,.567,-.004,.400,.404,-.004
Castellanos, Nicholas,592206,2017,665,477,.272,.290,-.018,.490,.546,-.056,.341,.379,-.038
Bryant, Kris,592178,2017,665,427,.295,.268,.027,.537,.507,.030,.399,.386,.013
Galvis, Freddy,520471,2017,663,503,.255,.257,-.002,.382,.383,-.001,.298,.305,-.007
Altuve, Jose,514888,2017,662,511,.346,.303,.043,.547,.494,.053,.405,.376,.029
Benintendi, Andrew,643217,2017,658,470,.271,.270,.001,.424,.441,-.017,.332,.344,-.012
Calhoun, Kole,594777,2017,654,441,.244,.247,-.003,.392,.413,-.021,.315,.330,-.015
Davis, Khris,501981,2017,652,378,.247,.266,-.019,.528,.586,-.058,.361,.395,-.034
Odor, Rougned,596059,2017,651,449,.204,.234,-.030,.397,.410,-.013,.272,.296,-.024
Seager, Kyle,572122,2017,650,474,.249,.263,-.014,.450,.487,-.037,.327,.353,-.026
McCutchen, Andrew,457705,2017,650,457,.279,.291,-.012,.486,.493,-.007,.360,.371,-.011
Myers, Wil,571976,2017,649,394,.243,.238,.005,.464,.441,.023,.335,.333,.002
Cano, Robinson,429664,2017,648,510,.280,.298,-.018,.453,.499,-.046,.334,.366,-.032
Duvall, Adam,594807,2017,647,428,.249,.229,.020,.480,.428,.052,.327,.308,.019
Simmons, Andrelton,592743,2017,647,530,.278,.269,.009,.421,.388,.033,.323,.315,.008
Ramirez, Jose,608070,2017,645,521,.318,.302,.016,.583,.487,.096,.397,.363,.034
Cain, Lorenzo,456715,2017,645,486,.300,.313,-.013,.440,.443,-.003,.347,.358,-.011
Cruz, Nelson,443558,2017,645,423,.288,.293,-.005,.549,.599,-.050,.385,.411,-.026
Lowrie, Jed,476704,2017,645,470,.277,.290,-.013,.448,.487,-.039,.347,.372,-.025
Smoak, Justin,475253,2017,637,434,.270,.275,-.005,.529,.572,-.043,.371,.393,-.022
Choo, Shin-Soo,425783,2017,636,418,.261,.276,-.015,.423,.485,-.062,.339,.375,-.036
Pujols, Albert,405395,2017,636,504,.241,.261,-.020,.386,.450,-.064,.286,.323,-.037
Jones, Adam,430945,2017,635,488,.285,.269,.016,.466,.445,.021,.334,.324,.010
Lamb, Jake,571875,2017,635,389,.248,.257,-.009,.487,.469,.018,.353,.358,-.005
Bogaerts, Xander,593428,2017,635,457,.273,.260,.013,.403,.349,.054,.322,.305,.017
Upton, Justin,457708,2017,635,378,.273,.255,.018,.540,.508,.032,.378,.364,.014
Hamilton, Billy,571740,2017,633,456,.247,.237,.010,.335,.289,.046,.278,.261,.017
Suarez, Eugenio,553993,2017,632,392,.260,.261,-.001,.461,.444,.017,.356,.358,-.002
Pillar, Kevin,607680,2017,632,498,.256,.267,-.011,.404,.400,.004,.302,.313,-.011
Merrifield, Whit,593160,2017,630,507,.288,.289,-.001,.460,.470,-.010,.332,.341,-.009
Escobar, Alcides,444876,2017,629,508,.250,.257,-.007,.357,.360,-.003,.269,.280,-.011
Dickerson, Corey,572816,2017,629,438,.282,.263,.019,.490,.452,.038,.341,.324,.017
Springer, George,543807,2017,629,441,.283,.298,-.015,.522,.537,-.015,.376,.393,-.017
Bregman, Alex,608324,2017,626,467,.284,.285,-.001,.475,.455,.020,.351,.352,-.001
Franco, Maikel,596748,2017,623,485,.230,.252,-.022,.409,.409,.000,.292,.314,-.022
Carpenter, Matt,572761,2017,622,379,.241,.254,-.013,.451,.485,-.034,.361,.383,-.022
Bell, Josh,605137,2017,620,436,.255,.265,-.010,.466,.441,.025,.338,.340,-.002
Souza Jr., Steven,519306,2017,617,347,.239,.241,-.002,.459,.453,.006,.348,.351,-.003
Bruce, Jay,457803,2017,617,419,.254,.264,-.010,.508,.514,-.006,.350,.364,-.014
Mazara, Nomar,608577,2017,616,430,.253,.249,.004,.422,.425,-.003,.318,.322,-.004
Seager, Corey,608369,2017,613,411,.295,.299,-.004,.479,.522,-.043,.364,.387,-.023
Kinsler, Ian,435079,2017,613,465,.236,.258,-.022,.412,.438,-.026,.313,.336,-.023
Morales, Kendrys,434778,2017,608,428,.250,.269,-.019,.445,.513,-.068,.320,.357,-.037
Santana, Domingo,570267,2017,607,350,.278,.275,.003,.505,.479,.026,.372,.369,.003
Anderson, Tim,641313,2017,606,428,.257,.249,.008,.402,.391,.011,.289,.286,.003
Shaw, Travis,543768,2017,606,404,.273,.251,.022,.513,.442,.071,.361,.333,.028
Rendon, Anthony,543685,2017,605,432,.301,.286,.015,.533,.494,.039,.394,.382,.012
Healy, Ryon,592387,2017,605,436,.271,.254,.017,.451,.453,-.002,.320,.319,.001
Phillips, Brandon,408252,2017,604,502,.285,.273,.012,.416,.389,.027,.316,.307,.009
Trumbo, Mark,444432,2017,603,411,.234,.236,-.002,.397,.399,-.002,.295,.301,-.006
Morrison, Logan,489149,2017,601,366,.246,.255,-.009,.516,.513,.003,.363,.372,-.009
Moustakas, Mike,519058,2017,598,467,.272,.265,.007,.521,.492,.029,.345,.341,.004
Mauer, Joe,408045,2017,597,445,.305,.307,-.002,.417,.476,-.059,.349,.375,-.026
Reynolds, Mark,448602,2017,593,348,.267,.221,.046,.487,.422,.065,.358,.321,.037
Murphy, Daniel,502517,2017,593,460,.322,.301,.021,.543,.498,.045,.385,.367,.018
Rosario, Eddie,592696,2017,589,448,.290,.268,.022,.507,.482,.025,.349,.335,.014
Mancini, Trey,641820,2017,586,408,.293,.274,.019,.488,.493,-.005,.349,.347,.002
Headley, Chase,452104,2017,586,388,.273,.256,.017,.406,.401,.005,.329,.327,.002
Realmuto, J.T.,592663,2017,579,429,.278,.284,-.006,.451,.450,.001,.332,.341,-.009
Hernandez, Cesar,514917,2017,577,408,.294,.290,.004,.421,.414,.007,.346,.348,-.002
Peralta, David,444482,2017,577,434,.293,.267,.026,.444,.403,.041,.342,.322,.020
Frazier, Todd,453943,2017,576,354,.213,.239,-.026,.428,.464,-.036,.335,.363,-.028
Zimmerman, Ryan,475582,2017,576,403,.303,.295,.008,.573,.570,.003,.388,.388,.000
Moreland, Mitch,519048,2017,576,393,.246,.272,-.026,.443,.533,-.090,.326,.374,-.048
Beckham, Tim,542921,2017,575,368,.278,.265,.013,.454,.455,-.001,.334,.334,.000
Panik, Joe,605412,2017,573,468,.288,.261,.027,.421,.384,.037,.329,.315,.014
Crawford, Brandon,543063,2017,570,414,.253,.242,.011,.403,.407,-.004,.301,.310,-.009
Gregorius, Didi,544369,2017,570,471,.287,.263,.024,.478,.388,.090,.335,.298,.037
